GUID	索引	Name	Type
4b1a45d4-1da3-4ad0-8cd5-62ee8b704bb8	0	交班對點頁面	調劑台
eb6570ed-f151-4a1b-81bc-30073064c8b9	1	交易紀錄查詢頁面	調劑台
8d332daa-a68f-4287-bba0-fe5e76e1860c	2	藥品資料頁面	調劑台
46c63698-175d-4b15-9158-387afe25ee47	3	交班對點功能	調劑台
bfa7bd5c-3516-4442-aa03-cdad2fed44f1	4	人員資料頁面	調劑台
95629479-03b0-4ffc-bf8c-55d234c73245	5	儲位管理頁面	調劑台
9c19d83a-dae7-47ac-96d4-4e2d12083ef5	6	工程模式頁面	調劑台
f77a47b5-2b7a-4f8a-83d0-f03ac775bfb7	7	藥品資料更動	調劑台
afaf95f1-45a4-4553-8954-503a01ec1ca1	8	管制結存表匯出	調劑台
6cb454fc-1814-4607-a12a-542de2d1bce2	9	管制結存表列印	調劑台
e9d2d17f-753a-404d-a7a9-4b58075c308d	10	None	
1e7cd816-703c-4dd7-86f9-dbadc57620b5	11	儲位刪除	調劑台
1b6d1699-5e79-4c00-a6ec-66ce2499a671	12	儲位庫存效期異動	調劑台
e4c52112-55f1-4b07-b6c7-a16402cbc5a0	13	面板資訊更改	調劑台
bf5f42ae-f148-4fa4-bdcd-e8d2a388bb53	14	人員基本資料更動	調劑台
0bf27e83-7191-47a9-a0ff-ebf9172c7475	15	儲位效期表	調劑台
be351097-17ae-4ee6-940c-64ebbc0f4e04	16	儲位總庫存表	調劑台
dd33d60f-b752-40b5-aa13-72e7a35e2851	17	權限內容更動	調劑台
07dbfc14-3247-4b37-8082-eb33d2f65c48	18	None	
ef5efaf4-487a-4ef9-8b26-4a0bc08152bd	19	線上更新	調劑台
af4aa8d6-70d4-4968-a654-5b2a0fa6478f	20	批次領藥權限	調劑台
9d9dbec8-9d81-42ff-aba4-6c6fd5d807f1	21	藥品群組修改	調劑台
a43bf2d7-aa1d-4622-9a35-cf301fa3cec7	22	醫囑資料頁面	調劑台
67a12a63-2fed-48a4-bdfc-2b76749ab659	23		
925649c2-a356-47b3-946c-1fe647f86895	24		
c551b61a-382d-459d-a0e2-3066b6ba47fe	25		
86e6df9c-c927-40cd-baf9-eee75ed13656	26		
63a2bedc-2ed6-42bd-b516-73fe88b50f74	27		
7d19cf65-27bc-4237-ad91-8c1016aed68d	28		
c537c490-30b4-4aed-8d0a-4f97deecf1f3	29		
5364a7f7-4d3d-4e50-872e-03790874a4bc	30		
120061b0-1dc6-45b3-9a56-36d7e71e83b2	31		
957548ac-384b-4601-802e-b31e180e301f	32	收支作業頁面	調劑台
405f6858-a753-427c-b8e0-c8e2c2b814c3	33	入庫功能	調劑台
49d7aa11-86d3-44df-9faf-95e29404e1af	34	出庫功能	調劑台
d7ae2ae7-649d-41d4-9d4f-c1a4f5c7d703	35	調入功能	調劑台
ee40c2ee-6684-44d2-958e-5bc43a4a94de	36	調出功能	調劑台
273ab138-4cab-4b26-8eab-6c6bc1128317	37	收支原因維護	調劑台
0b0edbbd-b7f7-40eb-841f-c4efb1d2513c	38	交易紀錄匯出	調劑台
5a826a61-074c-4a70-b9dd-d4916593b99b	39	管制藥設定	調劑台
ff1b4fe4-4955-4901-a6c3-eaef738fb694	40	None	
76395fe3-05f0-42c4-b2bb-5d65f2ca824a	41	None	
c39abef1-a91e-4a40-86f6-9a8c3e9fa339	42	None	
03014d58-98a7-43ec-8471-dd91a926fac7	43	None	
dbbce2d9-0fa6-49fc-a3f1-eb9514d8b950	44	None	
290293a7-a709-4f89-aed5-4c304a38e99a	45	None	
571cee04-3d95-4623-ac7f-096cb48d65ae	46	None	
963a805b-4091-4a11-81ca-194a9a1961b5	47	None	
ae4b1a14-b3d1-461e-adde-956621b1e96c	48	None	
1a14816f-b3c9-4627-bfe7-067df29cc05a	49	None	
69d50ddb-4fff-4dfe-becf-1b13b55b7e8a	50	None	
f8d97b07-980e-4706-8ef4-dcfe694587d2	51	None	
3f892ff6-1c84-4d5c-94f6-92f0945ab928	52	None	
bfdab871-01f3-4bff-8c36-6adc9b481f3c	53	None	
ad6aac4d-b9c2-4286-b9a2-6fc9d6b17a45	54	None	
93cf8c59-f5de-440b-8c9b-cc21731a57c2	55	None	
7317dc2e-9725-40e1-9a77-a78ebb6f231b	56	None	
52d033c1-7fa0-40ca-a0e5-79a7143384a0	57	None	
94dc4eef-cc73-4085-8a36-966a0c6b240e	58	None	
8cff1fab-57dd-45d6-b6cb-b38f6124ea07	59	None	
860f7e0d-abe7-44a4-b7cd-3df4443db05c	60	None	
3eb98c15-2e88-4ebb-bc3f-cf2ad42fb661	61	None	
c94f9c9a-e6e9-4ce3-8976-e0cef731ae17	62	None	
717544ac-4d3f-4258-89f3-c74fcb331379	63	None	
d8427472-bb22-4086-8ee6-25a60701ab3d	64	None	
63939c91-bd80-4bf2-a684-6e0ca4e7c28b	65	None	
91c5490a-9f90-4e0f-b623-edfb3560def0	66	None	
680e70a0-ff5b-4100-9691-35c0da3e1ede	67	None	
ac04dd8b-9e5f-454a-a3e0-d6a899619d31	68	None	
6f57b9f0-812e-4f9c-a9e1-741c0e93be72	69	None	
0f9881fd-6d77-436b-b5e2-4918f31298de	70	批次過帳頁面	藥庫
0cbaa20e-0e79-44de-a115-0ca193769161	71	藥庫頁面	藥庫
75d1a42c-6308-4692-91cc-80576baf73fa	72	藥局頁面	藥庫
312bd68d-387d-4669-a16d-1d3da3ef57c0	73	盤點作業頁面	藥庫
392944b3-abe0-4027-b759-2e0b44a7e445	74	盤點報表下載	藥庫
94e9d2dd-9bcd-4408-b9d0-bc795dcff721	75	盤點報表鎖定	藥庫
42baa8c8-609d-47c5-b9f1-e9a2c9a58086	76	盤點報表刪除	藥庫
17a99a3d-9d6b-4f4b-9be8-0b2156b2f815	77	周面設備頁面	藥庫
81456b86-8f5a-4843-9535-23ad6bb301d3	78	戰情白版設定	藥庫
e531189d-df8e-4c59-8934-fbcfab6f6ab7	79	藥品資料頁面	藥庫
c5bcdc8b-3b58-40a6-825b-ab999989f0b7	80	人員資料頁面	藥庫
24a4a0d7-7b0d-4b4d-9dd5-c49d336720ed	81	儲位管理頁面	藥庫
ff9dbe7c-30ad-4f38-83b8-6ce948ef538e	82	工程模式頁面	藥庫
90b21606-da37-4122-9b32-8516c78d2418	83	藥品資料更動	藥庫
59655314-3f91-4cd6-9d41-2d19d8308ca9	84	儲位庫存效期異動	藥庫
214e248d-6b09-4923-bd54-308117cd91be	85	人員基本資料更動	藥庫
c423dc88-2d5c-42d5-b4e9-f9bb6c67fe3b	86	權限內容更動	藥庫
f980c625-9d53-4d05-8167-48559a17fc84	87	交易紀錄查詢頁面	藥庫	
d93dd839-62b7-4127-8d3a-e81292922cdc	88	訂單管理	藥庫
dff55dc5-3d7c-428e-942f-de246d218d17	89	撥補功能	藥庫	
68fe5d2f-8888-479e-a5ee-cd54d621b20a	90	驗收入庫管理	藥庫
250fc809-c56e-4a4c-97b5-09d1745bc712	91	None	
e50774ad-a047-414b-9f85-b90616833dce	92	None	
877a3e00-5f50-463d-bad0-802c2cfb63d8	93	None	
479f00d0-e79e-4876-ac4c-7ff358b35406	94	None	
a0331e54-35b6-4134-8a7e-7555254a724f	95	None	
126eaad2-1019-4623-902f-86c99e827618	96	None	
e4a88647-f304-4426-8fef-4c7331e2448f	97	None	
c622f190-3492-4f7c-a02f-92fb1876db2f	98	None	
0dff82fe-db6d-4282-a798-61eb5043b27d	99	None	
11cf0419-448b-40ab-a7f5-8156e4afe599	100	None	
a6f465e4-1bc8-4e99-949c-666956d93795	101	None	
e9330891-ad27-421e-b7e6-10a93378c1e1	102	None	
2b0b3c6b-505a-4ef0-8cdd-598ec893b5b4	103	None	
1acf08df-e26e-44f8-b605-9c7dcc8e2d67	104	None	
76c2dd50-d6f3-492e-9a9e-7b98da178c88	105	None	
48807d1a-2e08-4291-ace9-a481d3c23c7e	106	None	
d65e2ae6-47a9-483c-965d-1ffbdf425cdd	107	None	
5aaccf29-7be4-4677-bd21-203913781c80	108	None	
60d1ebd2-029d-469d-aebc-97a20f98fc8d	109	None	
513a6f7a-d499-41ba-9526-bc8bded47d2d	110	None	
eb74843b-e1ae-4b8a-94c2-4efb1d4b09b7	111	None	
9461169e-f90d-4de9-b200-9ccbae0789bf	112	None	
98e2073e-1f05-4f86-80d4-45ed9f1d26e8	113	None	
a7e3d88b-9217-4595-bba2-565706529e06	114	None	
2aebdc87-08f3-4a72-90a0-b04bc047133b	115	None	
9b515701-9f82-4069-8aec-bfec0e4ce4e8	116	None	
4d7580f5-7d86-4814-91cb-48f0455cf9ae	117	None	
3a90d538-20d7-40d1-8a4e-f466ae72ccfa	118	None	
